control_id,aspect,uu_pdp_reference,source_ids,review_question,expected_evidence,output_category,keywords,required_terms,recommendation_scope,suggested_owner
PNR-001,Applicability and role clarity,"Pasal 1; Pasal 2; Pasal 19","UU-PDP-2022-P1;UU-PDP-2022-P2;UU-PDP-2022-P19",Does the notice identify the entity and its role as controller processor joint controller or equivalent operational role?,"Company identity, controller role, contact point, applicable services",Notice Wording Gap,"pengendali;prosesor;controller;processor;kami;perusahaan;afiliasi;layanan;platform","kami|perusahaan|company;layanan|platform|service;pengendali|controller|prosesor|processor","Privacy Notice Wording;PDP Officer / Privacy Governance","Legal / Compliance;Data Protection Officer / PDP Function"
PNR-002,Personal data category mapping,Pasal 4,UU-PDP-2022-P4,Does the notice classify general and specific personal data clearly?,"Data category list, sensitive or specific data indicators",Notice Wording Gap,"data pribadi;kategori;identitas;kontak;transaksi;lokasi;biometrik;kesehatan;keuangan;anak;specific;sensitive","data pribadi|personal data;kategori|jenis|type;identitas|kontak|transaksi|lokasi|keuangan|biometrik|kesehatan|anak","Privacy Notice Wording;Underlying Evidence Required","Legal / Compliance;Data Governance"
PNR-003,Data subject information rights,Pasal 5,UU-PDP-2022-P5,Does the notice explain identity legal basis purpose and accountability of the party requesting data?,"Identity, legal basis, purpose, accountability explanation",Notice Wording Gap,"identitas;dasar hukum;tujuan;akuntabilitas;accountability;purpose;legal basis","identitas|identity;dasar hukum|legal basis|lawful basis;tujuan|purpose;akuntabilitas|accountability","Privacy Notice Wording;Legal Review Required","Legal / Compliance"
PNR-004,Data subject rights,"Pasal 6-12","UU-PDP-2022-P6;UU-PDP-2022-P7;UU-PDP-2022-P8;UU-PDP-2022-P9;UU-PDP-2022-P10;UU-PDP-2022-P11;UU-PDP-2022-P12",Does the notice explain correction access deletion withdrawal objection to automated decision-making restriction and claim or compensation channels?,"DSAR section, contact channel, process or SLA",Notice Wording Gap / Process Gap,"hak;akses;koreksi;perbaikan;pembaruan;hapus;pemusnahan;tarik persetujuan;keberatan;otomatis;kompensasi;permintaan","hak|right;akses|access;koreksi|perbaiki|pembaruan|correction;hapus|pemusnahan|delete|erasure;tarik|withdraw;keberatan|object","Privacy Notice Wording;Data Subject Rights / DSAR Process","Legal / Compliance;Customer Service / DSAR Team"
PNR-005,Lawful basis,Pasal 20,UU-PDP-2022-P20,Does the notice specify the basis of processing for each major processing purpose?,"Consent, contract, legal obligation, vital interest, public interest, legitimate interest",Notice Wording Gap,"dasar pemrosesan;dasar hukum;persetujuan;kontrak;kewajiban hukum;kepentingan vital;kepentingan publik;kepentingan sah;legal basis;consent","dasar hukum|dasar pemrosesan|legal basis|lawful basis;persetujuan|consent|kontrak|kewajiban hukum|kepentingan sah;tujuan|purpose","Privacy Notice Wording;Legal Review Required","Legal / Compliance"
PNR-006,Consent notice content,Pasal 21,UU-PDP-2022-P21,If relying on consent does the notice disclose legality purpose type relevance retention collected information details processing period and rights?,"Consent-specific disclosure elements",Notice Wording Gap,"persetujuan;consent;tujuan;jenis data;retensi;periode;hak;menarik;withdraw","persetujuan|consent;tujuan|purpose;jenis|type|kategori;retensi|penyimpanan|retention;hak|right;tarik|withdraw","Privacy Notice Wording;Consent Mechanism","Legal / Compliance;Product Owner"
PNR-007,Consent validity,"Pasal 22-24","UU-PDP-2022-P22;UU-PDP-2022-P23;UU-PDP-2022-P24",Does the notice or supporting evidence show explicit written or recorded consent and proof of consent?,"Consent mechanism, logs, withdrawal method",Process Gap,"persetujuan eksplisit;tertulis;terekam;rekam;log;consent record;withdraw;menarik persetujuan","persetujuan|consent;eksplisit|tertulis|record|rekam|log;tarik|withdraw","Consent Mechanism;Underlying Evidence Required","Legal / Compliance;Product Owner"
PNR-008,Children and disability data,"Pasal 25-26","UU-PDP-2022-P25;UU-PDP-2022-P26",Does the notice explain special handling for children or persons with disabilities where applicable?,"Parent or guardian consent, accessible communication",Notice Wording Gap / Process Gap,"anak;orang tua;wali;disabilitas;difabel;children;guardian;parent;disability","anak|children|minor;orang tua|wali|parent|guardian;disabilitas|disability|accessible","Privacy Notice Wording;Consent Mechanism;Legal Review Required","Legal / Compliance;Product Owner"
PNR-009,Purpose limitation and transparency,"Pasal 16; Pasal 27; Pasal 28","UU-PDP-2022-P16;UU-PDP-2022-P27;UU-PDP-2022-P28",Are collection and processing limited specific lawful transparent and aligned to stated purposes?,"Clear purpose table, no vague excessive purposes",Notice Wording Gap,"tujuan;purpose;mengumpulkan;menggunakan;memproses;terbatas;spesifik;sah;transparan","tujuan|purpose;mengumpulkan|memperoleh|collect;memproses|menggunakan|process|use;terbatas|spesifik|transparent|transparan","Privacy Notice Wording;Legal Review Required","Legal / Compliance;Data Governance"
PNR-010,Accuracy and update,"Pasal 29-30","UU-PDP-2022-P29;UU-PDP-2022-P30",Does the notice explain how users can update or correct inaccurate data?,"Update or correction process, timing if stated",Process Gap,"akurat;memperbarui;pembaruan;perbaikan;koreksi;update;correct;inaccurate","memperbarui|pembaruan|update;koreksi|perbaiki|correct;akurasi|akurat|inaccurate","Data Subject Rights / DSAR Process","Customer Service / DSAR Team;Data Governance"
PNR-011,Access and processing records,"Pasal 31-32","UU-PDP-2022-P31;UU-PDP-2022-P32",Does the notice explain access to data and processing history where relevant?,"Access channel, copy request, record or log mention",Notice Wording Gap / Process Gap,"akses;riwayat;pemrosesan;salinan;catatan;log;processing history;copy","akses|access;riwayat|history|catatan|record|log;salinan|copy","Privacy Notice Wording;Data Subject Rights / DSAR Process","Customer Service / DSAR Team;Data Governance"
PNR-012,High-risk processing and DPIA,Pasal 34,UU-PDP-2022-P34,Does the notice indicate automated decision-making profiling specific data large-scale processing matching new technology or rights-impacting processing?,"Automated decision or profiling disclosures, DPIA flag",Governance Gap,"otomatis;profiling;pemrofilan;skor kredit;biometrik;skala besar;teknologi baru;dampak;DPIA;AI;machine learning","otomatis|automated|profiling|pemrofilan|AI|machine learning|skor kredit|biometrik;dampak|risiko|high-risk|skala besar","Automated Decision-Making / Profiling;DPIA / High-Risk Processing;Legal Review Required","Data Protection Officer / PDP Function;Management / Risk Committee"
PNR-013,Security and confidentiality,"Pasal 35-39","UU-PDP-2022-P35;UU-PDP-2022-P36;UU-PDP-2022-P37;UU-PDP-2022-P38;UU-PDP-2022-P39",Does the notice disclose reasonable security safeguards without overclaiming?,"Security statement, confidentiality, access controls, no unsupported absolute claims",Governance Gap,"keamanan;kerahasiaan;akses terbatas;enkripsi;sertifikasi;ISO;PCI;security;confidentiality","keamanan|security;kerahasiaan|confidentiality;akses|access|kontrol|control|enkripsi|encryption|sertifikasi","Security Governance","Cybersecurity / Information Security;IT Governance"
PNR-014,Withdrawal restriction deletion retention destruction,"Pasal 40-45","UU-PDP-2022-P40;UU-PDP-2022-P41;UU-PDP-2022-P42;UU-PDP-2022-P43;UU-PDP-2022-P44;UU-PDP-2022-P45",Does the notice explain withdrawal restriction end of processing deletion destruction and notification?,"Retention period or criteria, deletion request, withdrawal process",Notice Wording Gap / Process Gap,"retensi;penyimpanan;menghapus;pemusnahan;pembatasan;mengakhiri;pemberitahuan;withdraw;delete;destroy;retention","retensi|penyimpanan|retention;menghapus|hapus|delete|pemusnahan|destroy;pembatasan|restriction|mengakhiri|end;tarik|withdraw|persetujuan","Privacy Notice Wording;Retention and Deletion Governance;Data Subject Rights / DSAR Process","Legal / Compliance;Data Governance;Customer Service / DSAR Team"
PNR-015,Personal data breach notification,Pasal 46,UU-PDP-2022-P46,Does the notice explain breach notification or at least avoid contradicting breach obligations?,"Breach notification wording, internal incident process if supplied",Governance Gap,"pelanggaran data;kebocoran;insiden;notifikasi;pemberitahuan;breach;incident","pelanggaran|kebocoran|breach|incident;pemberitahuan|notifikasi|notify","Breach Response and Notification;Security Governance","Incident Response Team;Cybersecurity / Information Security"
PNR-016,Accountability,Pasal 47,UU-PDP-2022-P47,Does the notice assign accountability and provide contact or governance ownership?,"DPO or privacy contact, accountability statement",Governance Gap,"akuntabilitas;bertanggung jawab;kontak;DPO;pejabat;perlindungan data;privacy office","akuntabilitas|accountability|bertanggung jawab;kontak|contact|email;DPO|pejabat|petugas|privacy office","PDP Officer / Privacy Governance;Privacy Notice Wording","Data Protection Officer / PDP Function;Legal / Compliance"
PNR-017,Corporate restructuring transfer,Pasal 48,UU-PDP-2022-P48,Does the notice explain data transfer in merger acquisition restructuring or dissolution contexts?,"M&A transfer disclosure and notice commitment",Notice Wording Gap,"merger;akuisisi;penggabungan;peleburan;pemisahan;pembubaran;restrukturisasi;restructuring","merger|akuisisi|penggabungan|peleburan|pemisahan|pembubaran|restrukturisasi;transfer|pengalihan|pemindahan;pemberitahuan|notice","Privacy Notice Wording;Legal Review Required","Legal / Compliance;Management / Risk Committee"
PNR-018,Processor and third-party processing,"Pasal 51-52","UU-PDP-2022-P51;UU-PDP-2022-P52",Does the notice identify processors service providers or third parties and explain processing under controller instruction?,"Vendor categories, processor role, safeguards",Third-Party / Processor Gap,"pihak ketiga;vendor;mitra;penyedia layanan;prosesor;afiliasi;processor;service provider","pihak ketiga|third party|vendor|mitra|penyedia layanan|service provider;prosesor|processor|afiliasi;instruksi|safeguard|perlindungan|perjanjian","Third-Party / Processor Governance;Privacy Notice Wording","Procurement / Vendor Management;Legal / Compliance"
PNR-019,PDP officer or DPO function,"Pasal 53-54","UU-PDP-2022-P53;UU-PDP-2022-P54",If triggers are met does the organization identify a PDP function or contact?,"PDP officer, privacy function, contact channel",Governance Gap,"DPO;pejabat;petugas;perlindungan data;data protection officer;kontak privasi","DPO|data protection officer|pejabat|petugas|privacy office;kontak|email|form","PDP Officer / Privacy Governance;Legal Review Required","Data Protection Officer / PDP Function;Legal / Compliance"
PNR-020,Domestic and cross-border transfer,"Pasal 55-56","UU-PDP-2022-P55;UU-PDP-2022-P56",Does the notice disclose domestic and overseas transfer and safeguards?,"Transfer countries or categories, safeguards, consent fallback if relevant",Transfer Gap,"transfer;lintas batas;luar negeri;negara;internasional;overseas;cross-border;safeguards","transfer|pemindahan|pengalihan;luar negeri|lintas batas|internasional|overseas|cross-border;perlindungan|safeguard|persetujuan|consent","Cross-Border Transfer Governance;Privacy Notice Wording;Legal Review Required","Legal / Compliance;Data Protection Officer / PDP Function"
PNR-021,Sanctions and enforcement context,Pasal 57,UU-PDP-2022-P57,Does the assessment identify legal exposure for mapped gaps without overstating final liability?,"Administrative sanction reference as context",Risk Context,"sanksi administratif;enforcement;risiko;kepatuhan;administrative sanction","sanksi|sanction|risiko|risk|kepatuhan|compliance","Legal Review Required","Legal / Compliance;Management / Risk Committee"
